ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|NUMERO_ARE|NUMERO_ZORE|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO
5|6|1535|B|1|0|70|12|U|515|35
5|6|1546|C|3|0|88|15|U|589|35
5|6|1593|B|1|0|82|14|U|724|35
5|6|1732|C|1|0|45|8|U|628|35
5|6|1745|C|3|0|90|16|U|612|35
5|7|214|C|1|0|142|24|M|614|11
5|7|551|B|1|0|128|21|U|397|24
5|7|744|C|3|0|4|1|U|729|30
5|7|747|C|1|0|9|1|U|574|30
5|7|795|B|1|0|26|4|U|654|30
5|7|850|C|1|0|38|6|U|660|30
5|7|853|C|2|0|40|9|U|724|30
5|7|894|B|1|0|49|8|U|660|30
5|7|935|B|1|0|62|10|U|495|30
5|7|937|B|1|0|61|10|U|678|30
5|7|937|C|1|0|61|10|U|677|30
5|7|970|C|3|0|72|12|U|742|30
5|7|987|B|1|0|77|14|U|700|30
5|7|987|C|4|0|77|14|U|699|30
5|7|999|C|1|0|106|16|U|423|30
5|7|1024|B|1|0|123|19|R|128|30
5|7|1657|C|1|0|87|15|U|459|30
5|7|1662|B|1|0|94|18|U|697|30
5|7|1676|C|6|0|100|17|U|657|30
5|7|1681|B|1|0|101|17|U|730|30
6|1|44|B|1|0|46|8|U|434|1
6|1|56|B|1|0|15|3|U|435|1
6|1|61|C|1|0|58|9|U|671|1
6|1|82|C|2|0|40|7|M|659|1
6|1|150|B|1|0|118|20|U|579|5
6|1|152|E|1|3|96|16|U|716|5
6|1|165|C|1|0|113|19|U|643|5
6|1|369|C|1|0|107|18|U|492|5
6|1|370|B|1|0|105|18|U|625|5
6|1|20|C|1|0|35|6|U|435|1
6|1|132|C|1|0|83|14|M|539|4
6|1|140|C|1|0|120|21|M|670|5
6|1|60|S|1|0|55|9|U|0|1
6|1|90|E|1|0|2|1|R|202|1
6|1|100|E|1|0|64|11|R|159|2
6|1|105|C|2|0|74|13|M|569|3
6|1|131|E|1|0|85|15|R|481|4
6|1|133|C|1|0|82|14|R|375|4
6|1|342|B|1|0|98|17|U|445|5
6|1|362|B|1|0|106|18|U|530|5
6|2|238|C|4|0|32|7|M|684|8
6|2|238|E|2|4|32|7|M|709|8
6|2|238|E|1|3|29|7|M|672|8
6|2|238|E|2|0|31|7|M|709|8
6|2|244|C|8|0|39|8|U|705|8
6|2|301|C|1|0|101|18|U|418|10
6|2|310|B|1|0|102|18|U|541|10
6|2|315|C|2|0|108|19|U|660|10
6|2|172|C|1|0|4|2|U|427|6
6|2|216|C|3|0|67|13|U|602|8
6|2|216|C|1|0|67|13|U|603|8
6|2|223|E|1|0|14|4|R|128|8
6|2|245|C|1|0|36|8|U|697|8
6|2|303|B|1|0|104|19|U|432|10
6|2|181|C|1|0|1|1|M|575|6
6|2|182|B|1|0|1|1|M|606|6
6|2|261|B|1|0|71|13|U|578|8
6|2|280|E|1|0|87|16|M|734|10
6|2|282|B|1|0|91|17|U|750|10
6|2|316|C|3|0|110|19|M|718|10
7|1|186|E|1|0|16|3|M|300|16
7|1|957|C|1|0|16|3|R|618|65
7|1|949|B|1|0|23|5|M|675|65
7|1|950|C|4|0|19|4|U|695|65
7|1|950|C|7|0|20|4|U|695|65
7|1|953|C|1|0|6|1|R|604|65
7|1|958|C|2|0|17|3|R|578|65
7|1|1095|C|1|0|17|3|R|410|76
7|1|960|E|1|0|25|5|R|459|65
7|1|1111|C|2|0|68|13|R|666|76
7|1|1468|C|1|0|53|10|R|576|96
7|1|1470|B|1|0|93|17|R|638|96
7|1|1473|E|1|0|81|15|R|302|96
7|1|1478|C|1|0|102|19|R|545|96
7|1|1483|C|1|0|104|19|U|679|96
7|1|1574|C|1|0|75|14|R|733|100
7|1|1577|C|1|0|77|14|R|500|100
7|1|1579|E|1|0|71|13|R|498|100
7|1|1902|C|1|0|107|20|U|735|110
7|1|1912|B|1|0|119|21|R|438|110
7|2|44|C|1|0|3|1|U|647|5
7|2|145|C|3|0|18|4|U|671|13
7|2|149|E|1|0|13|3|R|515|13
7|2|156|C|2|0|24|5|U|623|14
7|2|162|C|3|0|30|6|R|603|14
7|2|335|E|2|0|45|8|R|620|22
7|2|388|B|1|0|62|11|R|635|26
7|2|395|E|1|0|61|11|R|405|26
7|2|399|C|2|0|36|7|R|572|112
7|2|564|E|1|0|86|16|R|139|38
