CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|MC|NVA_ALIANZA|MORENA|PH|ES|PPG|COMUN_PRI_PVEM|COMUN_PRD_PT|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1206.00|URBANA|B|7.00|130.00|93.00|19.00|11.00|27.00|3.00|20.00|7.00|4.00|7.00|0.00|6.00|0.00|334.00|15.00|349.00|729.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1206|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1206.00|URBANA|C01|7.00|141.00|80.00|12.00|10.00|21.00|7.00|18.00|4.00|6.00|7.00|5.00|5.00|0.00|323.00|28.00|351.00|728.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1206|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1209.00|URBANA|B|5.00|112.00|83.00|8.00|2.00|11.00|7.00|12.00|5.00|4.00|4.00|5.00|8.00|0.00|266.00|8.00|274.00|591.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1209|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1216.00|URBANA|B|10.00|145.00|71.00|6.00|6.00|28.00|4.00|17.00|3.00|2.00|3.00|3.00|4.00|0.00|302.00|9.00|311.00|633.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1216|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1216.00|URBANA|C01|5.00|145.00|64.00|4.00|5.00|19.00|7.00|26.00|3.00|3.00|5.00|2.00|5.00|0.00|293.00|7.00|300.00|633.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1216|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1216.00|URBANA|C02|7.00|138.00|76.00|6.00|1.00|29.00|4.00|21.00|2.00|4.00|1.00|5.00|5.00|0.00|299.00|12.00|311.00|632.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1216|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1216.00|URBANA|S01|14.00|227.00|163.00|15.00|10.00|36.00|7.00|25.00|0.00|2.00|2.00|0.00|0.00|0.00|501.00|9.00|510.00|0.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1216|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1217.00|URBANA|B|5.00|139.00|70.00|5.00|4.00|25.00|2.00|17.00|3.00|3.00|5.00|2.00|10.00|0.00|290.00|22.00|312.00|690.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1217|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1217.00|URBANA|C01|7.00|150.00|91.00|7.00|6.00|21.00|8.00|29.00|2.00|7.00|3.00|0.00|0.00|0.00|331.00|16.00|347.00|690.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1217|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1217.00|URBANA|C02|11.00|130.00|64.00|10.00|5.00|21.00|1.00|15.00|0.00|2.00|3.00|1.00|6.00|0.00|269.00|15.00|284.00|689.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1217|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1219.00|URBANA|B|4.00|155.00|107.00|0.00|0.00|21.00|5.00|16.00|7.00|6.00|4.00|0.00|0.00|0.00|325.00|25.00|350.00|697.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1219|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1219.00|URBANA|C01|6.00|142.00|81.00|10.00|4.00|13.00|2.00|10.00|4.00|4.00|12.00|4.00|7.00|0.00|299.00|26.00|325.00|696.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1219|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1220.00|URBANA|B|7.00|101.00|72.00|2.00|2.00|19.00|3.00|19.00|1.00|1.00|2.00|2.00|1.00|0.00|232.00|10.00|242.00|501.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1220|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1220.00|URBANA|C01|8.00|121.00|55.00|8.00|1.00|19.00|3.00|11.00|1.00|5.00|3.00|3.00|0.00|0.00|238.00|11.00|249.00|501.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1220|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1220.00|URBANA|C02|5.00|110.00|73.00|7.00|4.00|18.00|5.00|0.00|11.00|3.00|1.00|2.00|2.00|0.00|241.00|12.00|253.00|501.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1220|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1221.00|URBANA|B|5.00|103.00|77.00|7.00|5.00|16.00|5.00|8.00|4.00|1.00|8.00|3.00|4.00|0.00|246.00|8.00|254.00|615.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1221|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1221.00|URBANA|C01|7.00|120.00|79.00|7.00|2.00|6.00|6.00|6.00|5.00|0.00|5.00|0.00|0.00|0.00|243.00|10.00|253.00|614.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1221|U|
