V1,V2
-116.97,32.26
-116.98,32.26
-116.99,32.27
-116.99,32.27
-117.00,32.27
-117.00,32.27
-117.01,32.28
-117.01,32.28
-117.01,32.28
-117.02,32.29
-117.02,32.29
-117.02,32.30
-117.03,32.30
-117.03,32.30
-117.03,32.31
-117.03,32.31
-117.04,32.32
-117.04,32.32
-117.04,32.33
-117.05,32.33
-117.05,32.34
-117.05,32.34
-117.05,32.34
-117.06,32.35
-117.06,32.35
-117.06,32.36
-117.07,32.36
-117.07,32.37
-117.07,32.37
-117.07,32.38
-117.07,32.38
-117.08,32.39
-117.08,32.39
-117.08,32.39
-117.08,32.40
-117.09,32.40
-117.09,32.41
-117.09,32.42
-117.09,32.42
-117.10,32.42
-117.10,32.43
-117.10,32.43
-117.10,32.44
-117.11,32.44
-117.11,32.44
-117.12,32.45
-117.12,32.45
-117.12,32.46
-117.12,32.46
-117.12,32.47
-117.13,32.47
-117.13,32.48
-117.13,32.49
-117.13,32.49
-117.13,32.50
-117.12,32.50
-117.12,32.51
-117.12,32.51
-117.12,32.52
-117.11,32.52
-117.11,32.53
-117.12,32.53
-117.12,32.53
-112.31,26.09
-112.31,26.09
-112.32,26.09
-112.32,26.08
-112.33,26.08
-112.33,26.08
-112.34,26.08
-112.34,26.08
-112.34,26.09
-112.35,26.09
-112.35,26.10
-112.35,26.10
-112.35,26.11
-112.35,26.12
-112.35,26.12
-112.35,26.13
-112.35,26.14
-112.35,26.14
-112.35,26.15
-112.35,26.16
-112.35,26.16
-112.35,26.17
-112.35,26.17
-112.35,26.18
-112.36,26.18
-112.36,26.19
-112.36,26.19
-112.36,26.20
-112.36,26.21
-112.36,26.21
-112.36,26.22
-112.36,26.22
-112.36,26.23
-112.37,26.23
-112.37,26.24
-112.37,26.24
-112.37,26.25
-112.38,26.25
-112.38,26.25
-112.38,26.26
-112.39,26.26
-112.39,26.27
-112.39,26.27
-112.40,26.27
-112.40,26.28
-112.40,26.28
-112.41,26.28
-112.41,26.29
-112.42,26.29
-112.42,26.29
-112.43,26.29
-112.44,26.29
-112.44,26.29
-112.45,26.29
-112.45,26.28
-112.46,26.28
-112.46,26.28
-112.46,26.27
-112.46,26.27
-112.47,26.26
-112.48,26.26
-112.48,26.27
-112.49,26.27
-112.49,26.27
-112.50,26.27
-112.50,26.28
-112.50,26.28
-112.51,26.28
