Fecha,AEROMEX,ARA,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,CEMEXCPO,CHDRAUIB,GCARSOA,GMEXICOB,GRUMAB,KIMBERA,KOF,LAMOSA,MEGACPO,MEXCHEM,MFRISCOA,PE¥OLES,VITROA
26/4/2012,21.4,4.037573,88.549866,12.335552,3.91,20.592072,31.290848,7.75899,33.152557,39.509159,35.291176,34.457394,20.781496,93.244057,13.286016,24.855272,42.325165,56.25,561.526062,16.695061
27/4/2012,21.690001,3.960299,91.484268,12.68155,3.85,20.336267,30.187738,7.70146,33.250214,39.657211,35.115173,33.302395,20.765917,94.816406,13.559021,25.032808,42.36916,55.610001,550.856567,16.578041
30/4/2012,21.950001,4.008596,92.29554,12.31685,3.58,20.509846,30.611252,7.74255,33.084202,40.712013,35.370384,34.341892,20.68799,93.525139,13.559021,25.032808,42.676765,56.380001,543.992981,16.578041
2/5/2012,21.85,4.018255,91.363434,12.204636,3.6,21.286388,30.443817,7.51241,33.35762,39.694214,35.880833,33.831772,20.672411,92.91024,13.559021,25.041683,42.896515,56.459999,547.202026,16.724318
3/5/2012,21.690001,3.989277,90.474495,11.933449,3.64,21.679228,30.04985,7.33159,33.552925,38.76894,35.669621,32.975143,20.547741,94.412338,13.559021,25.654192,43.406345,57.25,538.377686,16.675558
4/5/2012,21.74,3.979618,89.948021,12.176581,3.6,21.26812,30.227137,7.2494,34.080246,38.815193,35.863235,32.773022,20.516571,94.95697,12.922008,25.725206,43.995293,56.310001,536.594849,16.675558
7/5/2012,21.66,4.018255,89.982544,12.036313,3.62,20.930092,31.024918,7.47954,33.924007,39.795986,36.496891,31.983778,20.555525,95.194138,14.37804,25.538792,44.566715,57,540.62384,16.675558
8/5/2012,21.799999,3.969959,91.363434,12.083069,3.72,21.185894,31.625721,7.4631,34.031414,41.628033,36.00404,31.47365,20.726957,95.668488,14.37804,25.414513,44.74247,58.200001,543.725769,16.675558
9/5/2012,21.799999,3.95064,90.923279,11.858638,3.71,21.578735,31.162806,7.39734,33.982594,41.544758,35.629841,31.666153,20.313976,94.9394,14.105033,25.734083,44.127148,57.189999,528.572754,16.236729
10/5/2012,21.85,3.921662,91.303024,11.839841,3.75,22.19083,30.680197,7.48776,33.933765,40.985867,35.629841,32.59977,20.181507,93.173767,13.923031,25.742958,44.197502,55.740002,509.854279,16.578041
11/5/2012,21.33,3.940981,90.465858,11.708922,3.71,22.474043,30.138494,7.27405,33.465038,39.951897,35.416008,31.618023,19.636065,92.35685,13.923031,25.361254,43.960155,55.66,495.672913,16.578041
14/5/2012,20.889999,3.805751,92.029938,11.390981,3.6,22.427889,29.941509,6.84665,33.3088,39.216011,34.756687,31.184904,19.207495,98.338875,13.923031,25.032808,43.274479,54.810001,493.809906,16.578041
15/5/2012,20.879999,3.699499,92.950493,11.260063,3.52,22.151005,29.547541,6.49322,33.201382,37.297131,33.500416,30.34753,19.854242,95.580643,13.923031,24.491318,42.544914,53.860001,489.718628,16.187969
16/5/2012,20.889999,3.660862,88.740906,11.222656,3.48,22.049479,29.449049,6.26308,33.318565,35.210575,33.411327,30.21278,20.103588,95.852959,14.114126,24.047474,42.386684,53.290001,479.967224,16.187969
17/5/2012,21.1,3.670521,87.284096,11.222656,3.42,22.049479,29.301311,6.25487,33.006081,37.259876,33.07275,29.837408,20.337349,96.740166,14.105033,24.642229,42.474651,53.650002,482.22229,16.041693
18/5/2012,20.99,3.631884,85.764709,10.998227,3.41,22.520191,28.533075,5.87678,33.142796,37.259876,32.734188,29.616034,19.721775,96.265808,14.105033,24.411428,42.123055,52.830002,492.205505,16.041693
21/5/2012,20.85,3.660862,87.185783,11.222656,3.4,21.966412,28.661116,6.29596,33.465038,40.613255,33.001472,30.318655,20.017872,96.344856,14.105033,24.926283,43.07235,53.099998,500.138489,16.041693
22/5/2012,20.610001,3.680181,88.48172,11.447087,3.36,22.058706,28.631567,6.32062,32.859612,40.27792,32.342155,30.828777,20.181507,97.212318,14.105033,24.855272,42.755886,52.299999,502.560913,15.944174
23/5/2012,20.84,3.651203,88.839226,11.362926,3.22,22.151005,28.611868,6.33706,32.908428,39.309162,32.787643,30.366779,19.573727,98.044891,14.105033,24.917408,42.852612,52.200001,501.010254,15.164032
24/5/2012,20.65,3.757455,88.490662,11.222656,3.19,21.643379,29.055082,6.2713,32.820541,40.957912,33.348957,29.394659,19.410086,102.458336,14.105033,24.855272,43.336075,52.540001,500.422943,15.164032
25/5/2012,20.030001,3.747796,88.839226,11.1759,3.17,21.689528,29.252066,6.3124,32.908428,39.784229,33.054932,29.798906,19.441261,100.999138,14.105033,24.473564,43.540291,53.130001,495.357849,15.164032
28/5/2012,20.5,3.81541,87.677353,11.269414,3.17,21.689528,28.710361,6.39459,32.879131,39.821491,33.277679,29.981779,19.4023,102.986511,14.105033,24.828638,43.989113,54.889999,498.716217,15.164032
29/5/2012,20.290001,3.873366,88.749855,11.31617,3.1,22.520191,29.547541,6.69049,33.591988,40.566677,33.402409,30.703657,19.480221,104.732216,14.105033,24.145121,43.567219,56.099998,501.010254,16.09045
30/5/2012,20.07,3.902344,91.520493,11.1759,3.08,22.935526,29.508144,6.41925,33.474808,40.520111,33.322231,30.241657,19.441261,107.023979,14.105033,24.056351,43.22604,56.099998,501.377411,16.09045
31/5/2012,20,3.931322,92.771751,11.222656,3.23,23.073963,30.985521,6.61651,33.68964,37.278503,33.758804,30.21278,19.410086,105.251442,14.105033,23.701277,44.833,56.169998,502.84552,15.602861
1/6/2012,20.299999,4.037573,92.235489,11.110441,3.22,22.151005,29.655882,6.03294,32.81078,35.601807,32.948025,29.972157,19.324379,105.779633,14.105033,23.390585,44.662457,55.869999,503.405273,16.09045
4/6/2012,19.959999,4.018255,90.090492,10.848607,3.15,22.65863,29.646032,5.96719,33.054909,34.977699,32.983654,29.693033,18.934776,105.779633,14.105033,22.902357,45.326759,55.119999,503.313446,16.09045
5/6/2012,20.299999,3.979618,90.447983,11.09174,3.17,22.335594,29.449049,6.00007,32.742424,36.244537,32.671822,29.66416,18.934776,106.612183,14.105033,24.100735,45.425453,54.650002,498.450195,15.739386
